;date;RR;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg;ddd_x;ddd_car
238468;01/01/2010;2.2;24.2;31.0;26.3;92.0;4.8;3.0;2.0;270.0;E 
238469;01/02/2010;2.2;24.4;;25.7;94.0;3.9;4.0;2.0;135.0;NW
238470;01/03/2010;19.6;24.2;31.4;26.9;86.0;4.2;3.0;2.0;360.0;N 
238471;01/04/2010;;24.8;30.6;26.7;91.0;1.1;4.0;2.0;270.0;N 
238472;01/05/2010;23.4;24.0;;25.7;92.0;0.0;5.0;3.0;270.0;NE
238473;01/06/2010;35.2;23.5;30.6;26.4;87.0;1.0;3.0;2.0;360.0;N 
238474;01/07/2010;3.7;22.5;;24.6;92.0;0.0;3.0;1.0;45.0;NE
238475;01/08/2010;17.4;23.2;31.5;25.2;91.0;0.8;4.0;2.0;360.0;E 
238476;01/09/2010;23.0;23.0;29.4;25.2;90.0;0.0;3.0;2.0;180.0;S 
238477;01/10/2010;0.0;24.0;;25.0;94.0;0.0;1.0;0.0;180.0;S 
238478;01/11/2010;5.2;23.9;;27.3;80.0;8.0;4.0;3.0;270.0;SE
238479;01/12/2010;;24.9;31.4;26.7;86.0;3.0;6.0;4.0;270.0;W 
238480;13/01/2010;18.3;23.6;30.2;25.7;92.0;0.2;5.0;2.0;270.0;NW
238481;14/01/2010;0.3;22.9;30.0;25.5;88.0;3.3;6.0;3.0;315.0;NW
238482;15/01/2010;29.9;22.6;30.1;25.4;90.0;4.9;4.0;2.0;270.0;W 
238483;16/01/2010;;23.9;;27.3;85.0;7.5;4.0;3.0;270.0;W 
238484;17/01/2010;9.5;23.1;30.9;26.5;87.0;3.1;3.0;2.0;225.0;W 
238485;18/01/2010;;24.8;31.6;27.7;84.0;8.0;6.0;4.0;225.0;W 
238486;19/01/2010;0.0;25.4;30.8;27.3;86.0;0.5;6.0;3.0;315.0;W 
238487;20/01/2010;8.9;22.9;29.6;25.3;89.0;1.4;4.0;2.0;225.0;NE
238488;21/01/2010;1.7;22.6;29.6;24.9;88.0;1.0;3.0;2.0;315.0;N 
238489;22/01/2010;0.5;23.3;32.4;27.8;75.0;8.0;5.0;2.0;225.0;S 
238490;23/01/2010;33.0;23.2;30.8;25.9;88.0;1.9;4.0;2.0;360.0;NE
238491;24/01/2010;;24.0;32.6;26.4;86.0;7.9;3.0;2.0;315.0;SE
238492;25/01/2010;0.8;24.8;28.8;25.3;90.0;0.0;3.0;2.0;360.0;E 
238493;26/01/2010;2.1;23.3;31.6;26.6;84.0;5.1;2.0;2.0;180.0;NE
238494;27/01/2010;;23.6;30.6;24.5;94.0;3.1;10.0;2.0;315.0;NE
238495;28/01/2010;13.8;22.8;31.8;26.6;84.0;7.4;4.0;2.0;180.0;S 
238496;29/01/2010;61.6;23.4;30.8;26.6;88.0;1.4;3.0;1.0;270.0;W 
238497;30/01/2010;3.4;24.6;30.4;26.0;91.0;3.4;3.0;2.0;315.0;NW
238498;31/01/2010;8.6;23.9;30.0;26.0;92.0;1.4;5.0;2.0;225.0;SW
238499;02/01/2010;20.7;23.8;30.8;27.0;86.0;1.5;3.0;2.0;45.0;SW
238500;02/02/2010;12.0;23.3;30.2;25.0;93.0;2.4;4.0;2.0;315.0;E 
238501;02/03/2010;1.5;23.8;30.9;26.8;86.0;2.5;3.0;2.0;315.0;NW
238502;02/04/2010;0.8;24.3;33.2;26.4;90.0;1.9;3.0;2.0;360.0;S 
238503;02/05/2010;0.2;24.8;30.6;25.9;94.0;2.3;3.0;2.0;270.0;N 
238504;02/06/2010;22.1;23.8;31.4;26.1;89.0;0.2;4.0;1.0;180.0;S 
238505;02/07/2010;90.5;22.6;31.2;26.4;88.0;1.6;3.0;2.0;360.0;NE
238506;02/08/2010;0.0;24.2;32.8;28.0;81.0;7.3;3.0;2.0;360.0;N 
238507;02/09/2010;;24.6;35.2;28.1;81.0;7.2;2.0;2.0;315.0;S 
238508;02/10/2010;;24.4;33.4;28.1;78.0;6.6;5.0;2.0;360.0;E 
238509;02/11/2010;16.4;24.3;35.6;26.9;86.0;7.1;3.0;2.0;45.0;NE
238510;02/12/2010;1.7;24.4;33.1;27.5;83.0;7.4;4.0;2.0;180.0;NE
238511;13/02/2010;0.0;24.6;33.0;28.4;81.0;6.7;3.0;2.0;45.0;N 
238512;14/02/2010;;24.5;32.2;28.6;78.0;6.2;3.0;2.0;360.0;N 
238513;15/02/2010;13.6;24.4;32.0;26.8;88.0;4.3;6.0;2.0;180.0;S 
238514;16/02/2010;4.6;24.1;32.6;26.9;88.0;8.0;3.0;2.0;360.0;N 
238515;17/02/2010;3.3;25.0;29.4;26.9;90.0;0.0;3.0;2.0;45.0;NW
238516;18/02/2010;0.0;24.6;31.8;27.1;88.0;3.6;3.0;2.0;315.0;W 
238517;19/02/2010;25.6;23.5;30.5;25.1;94.0;0.0;2.0;1.0;270.0;W 
238518;20/02/2010;2.6;23.7;30.0;24.5;96.0;3.2;2.0;1.0;270.0;W 
238519;21/02/2010;44.9;24.0;30.9;26.9;85.0;4.4;3.0;2.0;315.0;N 
238520;22/02/2010;;25.3;30.0;26.3;91.0;0.2;2.0;1.0;360.0;NE
238521;23/02/2010;26.4;23.3;32.0;26.7;86.0;5.0;3.0;2.0;180.0;W 
238522;24/02/2010;0.0;24.0;32.4;27.8;80.0;8.0;3.0;2.0;180.0;S 
238523;25/02/2010;;24.9;30.5;26.8;88.0;0.7;4.0;2.0;315.0;NE
238524;26/02/2010;2.7;24.0;33.4;27.7;84.0;7.4;2.0;1.0;270.0;W 
238525;27/02/2010;0.0;24.6;33.0;28.4;84.0;5.0;4.0;2.0;270.0;W 
238526;28/02/2010;;25.4;31.6;26.1;95.0;1.8;4.0;1.0;90.0;N 
238527;03/01/2010;19.7;23.9;32.6;27.5;88.0;5.8;3.0;2.0;90.0;NE
238528;03/02/2010;4.2;24.0;33.0;27.3;84.0;6.7;4.0;2.0;270.0;N 
238529;03/03/2010;2.3;24.0;31.2;27.4;85.0;2.8;2.0;1.0;270.0;SW
238530;03/04/2010;1.0;24.8;33.4;27.1;87.0;6.0;3.0;2.0;270.0;S 
238531;03/05/2010;10.0;23.2;31.0;25.5;90.0;0.8;4.0;2.0;45.0;N 
238532;03/06/2010;6.9;19.0;32.8;26.7;88.0;5.2;4.0;2.0;180.0;N 
238533;03/07/2010;2.7;23.3;33.3;28.1;78.0;7.9;3.0;2.0;270.0;W 
238534;03/08/2010;;24.3;33.4;27.4;84.0;6.3;4.0;1.0;90.0;N 
238535;03/09/2010;0.7;24.6;33.3;27.0;87.0;5.9;6.0;2.0;180.0;N 
238536;03/10/2010;10.5;24.3;29.6;26.0;92.0;2.3;2.0;1.0;180.0;S 
238537;03/11/2010;15.2;23.8;31.4;26.1;89.0;5.5;3.0;2.0;180.0;W 
238538;03/12/2010;1.8;23.7;31.1;26.8;84.0;5.2;3.0;2.0;315.0;N 
238539;13/03/2010;0.0;24.1;32.2;26.5;89.0;4.8;3.0;2.0;270.0;S 
238540;14/03/2010;0.0;24.4;32.7;27.8;82.0;5.5;4.0;2.0;225.0;N 
238541;15/03/2010;;;30.4;26.1;91.0;0.0;2.0;2.0;180.0;S 
238542;16/03/2010;4.8;24.0;30.2;26.2;89.0;3.1;2.0;2.0;90.0;N 
238543;17/03/2010;0.0;24.2;32.1;27.2;85.0;6.5;3.0;2.0;180.0;N 
